                     mean     sd    hpd_3%   hpd_97%  mcse_mean  mcse_sd  ess_mean   ess_sd  ess_bulk  ess_tail  r_hat
offsetKeck         -1.250  0.495    -2.171    -0.328      0.005    0.003   10762.0  10013.0   10757.0    7964.0    1.0
offsetFeros         1.258  0.961    -0.521     3.089      0.009    0.007   11859.0   9469.0   11877.0    8509.0    1.0
offsetDupont       -0.177  0.689    -1.482     1.117      0.007    0.006   10117.0   5967.0   10131.0    8036.0    1.0
logKAa              3.149  0.016     3.119     3.178      0.000    0.000   11787.0  11787.0   11938.0    8225.0    1.0
logKAb              3.322  0.013     3.297     3.347      0.000    0.000   11970.0  11966.0   11980.0    7882.0    1.0
KAa                23.304  0.363    22.621    24.006      0.003    0.002   11819.0  11819.0   11938.0    8225.0    1.0
KAb                27.720  0.363    27.011    28.396      0.003    0.002   11956.0  11939.0   11980.0    7882.0    1.0
logP                3.552  0.000     3.552     3.552      0.000    0.000   10667.0  10667.0   10776.0    8450.0    1.0
P                  34.879  0.001    34.877    34.881      0.000    0.000   10667.0  10667.0   10776.0    8450.0    1.0
e                   0.631  0.007     0.618     0.644      0.000    0.000   11365.0  11338.0   11516.0    8033.0    1.0
omega               1.418  0.023     1.373     1.458      0.000    0.000    9328.0   9328.0    9380.0    8439.0    1.0
gamma               9.861  0.455     9.021    10.736      0.004    0.003   11105.0  11105.0   11112.0    8607.0    1.0
tPeri            1159.577  0.073  1159.440  1159.712      0.001    0.001   10267.0  10267.0   10325.0    9115.0    1.0
logjittercfa        1.336  0.086     1.180     1.500      0.001    0.001    8459.0   7898.0    8578.0    4292.0    1.0
logjitterkeck      -0.144  0.176    -0.457     0.197      0.002    0.001    7841.0   7841.0    8167.0    7011.0    1.0
logjitterferos      1.214  0.178     0.905     1.558      0.002    0.002    7891.0   6998.0    7407.0    4264.0    1.0
logjitterdupont     0.706  0.193     0.358     1.078      0.002    0.002    6289.0   4824.0    7157.0    4040.0    1.0
jitCfa              3.816  0.329     3.209     4.427      0.004    0.003    7709.0   7032.0    8578.0    4292.0    1.0
jitKeck             0.880  0.161     0.601     1.174      0.002    0.001    7302.0   6832.0    8167.0    7011.0    1.0
jitFeros            3.422  0.606     2.361     4.589      0.007    0.006    6819.0   5969.0    7407.0    4264.0    1.0
jitDupont           2.064  0.417     1.358     2.824      0.006    0.005    5060.0   4102.0    7157.0    4040.0    1.0
