                     mean     sd    hpd_3%   hpd_97%  mcse_mean  mcse_sd  ess_mean   ess_sd  ess_bulk  ess_tail  r_hat
mparallax          27.313  0.120    27.086    27.534      0.001    0.001   16848.0  16848.0   16807.0    9260.0    1.0
offsetKeck         -1.244  0.495    -2.204    -0.325      0.004    0.003   15115.0  13106.0   15114.0    8566.0    1.0
offsetFeros         1.256  0.966    -0.555     3.057      0.008    0.006   15572.0  11809.0   15578.0    9372.0    1.0
offsetDupont       -0.173  0.691    -1.435     1.145      0.006    0.007   14959.0   5517.0   14970.0    8846.0    1.0
parallax            0.027  0.000     0.027     0.028      0.000    0.000   16848.0  16848.0   16807.0    9260.0    1.0
aAng                4.613  0.036     4.546     4.682      0.000    0.000   17061.0  17061.0   17094.0    8477.0    1.0
a                   0.169  0.001     0.167     0.171      0.000    0.000   17217.0  17217.0   17235.0    8868.0    1.0
logP                3.552  0.000     3.552     3.552      0.000    0.000   13412.0  13412.0   13567.0    9045.0    1.0
P                  34.879  0.001    34.877    34.881      0.000    0.000   13413.0  13413.0   13567.0    9045.0    1.0
e                   0.630  0.007     0.618     0.644      0.000    0.000   13372.0  13356.0   13428.0    8933.0    1.0
omega               1.415  0.023     1.373     1.459      0.000    0.000   11913.0  11913.0   12008.0    9224.0    1.0
Omega               1.951  0.161     1.624     2.231      0.001    0.001   15138.0  15138.0   15133.0    9114.0    1.0
gamma               9.855  0.450     8.996    10.690      0.004    0.003   15375.0  15301.0   15400.0    8257.0    1.0
cosIncl             0.659  0.012     0.637     0.681      0.000    0.000   15974.0  15974.0   16093.0    8408.0    1.0
incl                0.851  0.016     0.821     0.880      0.000    0.000   16031.0  15952.0   16093.0    8408.0    1.0
MAb                 0.241  0.005     0.231     0.252      0.000    0.000   16845.0  16845.0   16854.0    9524.0    1.0
tPeri            1159.570  0.073  1159.430  1159.704      0.001    0.000   12163.0  12163.0   12196.0    9219.0    1.0
MA                  0.528  0.010     0.508     0.548      0.000    0.000   17229.0  17229.0   17231.0    8848.0    1.0
MAa                 0.287  0.006     0.275     0.299      0.000    0.000   17378.0  17362.0   17395.0    8834.0    1.0
logjittercfa        1.335  0.087     1.173     1.499      0.001    0.001    9275.0   8601.0    9430.0    4744.0    1.0
logjitterkeck      -0.138  0.176    -0.457     0.202      0.002    0.001    9410.0   9410.0    9714.0    8067.0    1.0
logjitterferos      1.219  0.178     0.900     1.560      0.002    0.002    7426.0   6594.0    7134.0    4228.0    1.0
logjitterdupont     0.709  0.189     0.356     1.060      0.002    0.002    9560.0   7574.0   10564.0    6269.0    1.0
jitCfa              3.815  0.334     3.198     4.441      0.004    0.003    8372.0   7558.0    9430.0    4744.0    1.0
jitKeck             0.885  0.161     0.600     1.181      0.002    0.001    8812.0   8299.0    9714.0    8067.0    1.0
jitFeros            3.438  0.612     2.396     4.657      0.008    0.006    6432.0   5654.0    7134.0    4228.0    1.0
jitDupont           2.070  0.407     1.383     2.826      0.005    0.004    7970.0   6690.0   10564.0    6269.0    1.0
iDisk               0.859  0.014     0.831     0.885      0.000    0.000   17098.0  17067.0   17141.0    7324.0    1.0
OmegaDisk           2.035  0.007     2.022     2.049      0.000    0.000   16113.0  16113.0   16028.0    7684.0    1.0
thetaADisk          0.113  0.080     0.003     0.259      0.001    0.001    7149.0   6767.0    7829.0    8115.0    1.0
