                     mean     sd    hpd_3%   hpd_97%  mcse_mean  mcse_sd  ess_mean   ess_sd  ess_bulk  ess_tail  r_hat
mparallax          27.313  0.120    27.093    27.544      0.001    0.001   14023.0  14021.0   14034.0    8394.0    1.0
offsetKeck         -1.242  0.486    -2.170    -0.345      0.004    0.003   15446.0  12778.0   15444.0    8887.0    1.0
offsetFeros         1.270  0.972    -0.559     3.112      0.008    0.007   13893.0  11072.0   13942.0    9010.0    1.0
offsetDupont       -0.179  0.685    -1.481     1.099      0.006    0.006   13263.0   5826.0   13408.0    8148.0    1.0
parallax            0.027  0.000     0.027     0.028      0.000    0.000   14023.0  14021.0   14034.0    8394.0    1.0
aAng                4.613  0.036     4.545     4.681      0.000    0.000   14019.0  14019.0   14057.0    9118.0    1.0
a                   0.169  0.001     0.167     0.171      0.000    0.000   13502.0  13502.0   13599.0    8832.0    1.0
logP                3.552  0.000     3.552     3.552      0.000    0.000   12361.0  12361.0   12480.0    8685.0    1.0
P                  34.879  0.001    34.877    34.881      0.000    0.000   12361.0  12361.0   12480.0    8685.0    1.0
e                   0.630  0.007     0.617     0.643      0.000    0.000   14084.0  14051.0   14212.0    8726.0    1.0
omega               1.415  0.023     1.372     1.457      0.000    0.000   11755.0  11755.0   11931.0    8649.0    1.0
Omega               1.821  0.162     1.520     2.131      0.001    0.001   13820.0  13638.0   13846.0    8795.0    1.0
gamma               9.856  0.450     9.008    10.692      0.004    0.003   15007.0  14757.0   14996.0    9079.0    1.0
cosIncl            -0.659  0.012    -0.681    -0.638      0.000    0.000   14430.0  14430.0   14633.0    8646.0    1.0
incl                2.290  0.015     2.261     2.319      0.000    0.000   14491.0  14491.0   14633.0    8646.0    1.0
MAb                 0.241  0.005     0.231     0.252      0.000    0.000   13465.0  13465.0   13474.0    8398.0    1.0
tPeri            1159.569  0.073  1159.429  1159.703      0.001    0.000   11588.0  11588.0   11679.0    8460.0    1.0
MA                  0.528  0.010     0.509     0.548      0.000    0.000   13538.0  13538.0   13599.0    8857.0    1.0
MAa                 0.287  0.006     0.275     0.298      0.000    0.000   14054.0  14054.0   14102.0    8159.0    1.0
logjittercfa        1.335  0.087     1.171     1.497      0.001    0.001    9557.0   8951.0    9952.0    4862.0    1.0
logjitterkeck      -0.140  0.179    -0.461     0.207      0.002    0.001    9219.0   9219.0    9634.0    7039.0    1.0
logjitterferos      1.219  0.179     0.906     1.569      0.002    0.002    7478.0   6661.0    7074.0    4111.0    1.0
logjitterdupont     0.710  0.192     0.362     1.081      0.002    0.002    9996.0   7739.0   11085.0    6030.0    1.0
jitCfa              3.814  0.333     3.221     4.464      0.004    0.003    8743.0   7999.0    9952.0    4862.0    1.0
jitKeck             0.884  0.164     0.610     1.195      0.002    0.001    8325.0   7562.0    9634.0    7039.0    1.0
jitFeros            3.438  0.615     2.372     4.646      0.008    0.006    6486.0   5680.0    7074.0    4111.0    1.0
jitDupont           2.072  0.415     1.378     2.846      0.005    0.004    8194.0   6852.0   11085.0    6030.0    1.0
iDisk               2.283  0.014     2.256     2.310      0.000    0.000   13439.0  13439.0   13547.0    7737.0    1.0
OmegaDisk           2.035  0.007     2.022     2.049      0.000    0.000   13390.0  13390.0   13438.0    6545.0    1.0
thetaADisk          0.174  0.105     0.004     0.354      0.001    0.001   13045.0  11060.0   13708.0    9523.0    1.0
