                        mean          sd      hpd_3%     hpd_97%  mcse_mean   mcse_sd  ess_mean  ess_sd  ess_bulk  ess_tail  r_hat
mparallax             27.308       0.119      27.091      27.533      0.002     0.002    2442.0  2442.0    2445.0    3935.0   1.00
MAb                    0.310       0.506      -0.626       1.241      0.011     0.008    2234.0  2059.0    2275.0    3885.0   1.00
logPOuter              5.917       0.833       4.257       7.442      0.025     0.019    1126.0   938.0    1263.0     492.0   1.00
offsetKeck            -0.016       4.975      -8.861       9.736      0.089     0.073    3090.0  2353.0    3079.0    2847.0   1.00
offsetFeros           -0.075       5.029      -9.795       9.170      0.097     0.068    2706.0  2706.0    2705.0    3364.0   1.00
offsetDupont           0.045       5.023      -9.635       9.420      0.122     0.086    1691.0  1691.0    1692.0    1118.0   1.00
logRhoS               -4.890       2.007      -8.472      -1.172      0.047     0.034    1809.0  1755.0    1836.0    2327.0   1.00
logThetaS             -4.497       2.055      -8.174      -0.626      0.053     0.037    1505.0  1505.0    1571.0    1331.0   1.00
parallax               0.027       0.000       0.027       0.028      0.000     0.000    2442.0  2442.0    2445.0    3935.0   1.00
aAngInner              4.995       2.840       0.113       9.359      0.059     0.041    2353.0  2353.0    2169.0    2182.0   1.00
aInner                 0.183       0.104       0.006       0.344      0.002     0.002    2353.0  2353.0    2185.0    2174.0   1.00
logPInner              3.615       0.221       3.326       3.901      0.109     0.084       4.0     4.0       5.0      11.0   2.80
PInner                38.053       8.316      27.758      49.379      4.109     3.142       4.0     4.0       5.0      11.0   2.80
eInner                 0.503       0.285       0.043       0.970      0.007     0.005    1593.0  1593.0    1610.0    2915.0   1.01
omegaInner             0.000       1.803      -2.969       2.887      0.048     0.038    1436.0  1105.0    1933.0    4779.0   1.01
OmegaInner             0.151       1.708      -2.480       3.046      0.053     0.038    1024.0  1024.0    1558.0    5268.0   1.00
cosInclInner           0.508       0.288       0.056       0.992      0.008     0.005    1409.0  1409.0    1163.0     664.0   1.01
inclInner              0.990       0.376       0.336       1.570      0.010     0.007    1505.0  1345.0    1163.0     664.0   1.01
tPeriastronInner    1160.279      11.566    1142.430    1179.958      0.240     0.170    2324.0  2321.0    2260.0    2377.0   1.00
MA                     1.279       1.650       0.000       4.833      0.237     0.171      48.0    47.0     112.0      92.0   1.04
MAa                    0.969       1.730      -1.312       4.705      0.231     0.178      56.0    48.0     110.0     101.0   1.03
POuter            194787.784  204289.553   11363.996  510534.352   9950.921  7728.971     421.0   350.0    1263.0     492.0   1.00
omegaOuter            -0.085       1.804      -2.791       3.115      0.047     0.035    1499.0  1327.0    1750.0    2133.0   1.00
OmegaOuter             0.005       1.798      -3.096       2.771      0.038     0.032    2197.0  1592.0    2788.0    2581.0   1.00
phiOuter              -0.002       1.816      -2.908       2.956      0.048     0.035    1454.0  1346.0    1861.0    2984.0   1.00
tPeriastronOuter     -92.969   98927.893 -181300.303  185406.981   2145.858  1517.559    2125.0  2125.0    1564.0    3611.0   1.00
cosInclOuter          -0.505       0.283      -0.984      -0.052      0.005     0.003    3393.0  3288.0    3459.0    3529.0   1.00
inclOuter              2.146       0.369       1.572       2.790      0.006     0.005    3342.0  3278.0    3459.0    3529.0   1.00
eOuter                 0.499       0.285       0.066       1.000      0.006     0.004    2597.0  2597.0    2566.0    2592.0   1.00
gammaOuter             7.317       4.393       0.912      14.999      0.091     0.064    2325.0  2325.0    2713.0    3090.0   1.00
MB                     0.540       0.354       0.000       1.170      0.006     0.005    3071.0  3071.0    2318.0    2196.0   1.00
Mtot                   1.819       1.681       0.003       5.344      0.230     0.173      53.0    48.0     126.0      92.0   1.04
aOuter                67.776      49.609       9.887     157.225      2.419     1.884     421.0   347.0     853.0     459.0   1.01
aAngOuter              1.851       1.355       0.199       4.212      0.066     0.052     422.0   344.0     851.0     459.0   1.01
logjittercfa          -1.731       1.914      -4.972       1.223      0.045     0.040    1822.0  1167.0    1553.0     755.0   1.00
logjitterkeck         -1.722       1.892      -4.656       1.454      0.038     0.028    2542.0  2337.0    2493.0    2712.0   1.00
logjitterferos        -1.711       1.889      -4.878       1.272      0.041     0.031    2131.0  1841.0    2156.0    3099.0   1.00
logjitterdupont       -1.649       1.912      -4.949       1.209      0.040     0.028    2310.0  2310.0    2587.0    3175.0   1.00
jitCfa                 0.736       1.130       0.007       3.321      0.021     0.015    2894.0  2894.0    1553.0     755.0   1.00
jitKeck                0.732       1.113       0.007       3.255      0.021     0.015    2696.0  2696.0    2493.0    2712.0   1.00
jitFeros               0.723       1.105       0.007       3.198      0.023     0.017    2286.0  2209.0    2156.0    3099.0   1.00
jitDupont              0.779       1.146       0.007       3.234      0.026     0.019    1874.0  1874.0    2587.0    3175.0   1.00
iDisk                  0.858       0.035       0.799       0.912      0.001     0.001    2365.0  2360.0    2388.0    2304.0   1.00
OmegaDisk              2.039       0.016       2.013       2.065      0.000     0.000    1713.0  1713.0    1660.0    2428.0   1.00
thetaDiskInner         1.163       0.659       0.248       2.378      0.027     0.019     599.0   588.0     600.0     597.0   1.01
thetaInnerOuter        1.865       0.637       0.725       2.966      0.020     0.014    1067.0  1067.0    1120.0     717.0   1.00
thetaDiskOuter         1.957       0.569       0.913       2.896      0.015     0.011    1447.0  1401.0    1403.0    1772.0   1.00
