                        mean         sd     hdi_3%     hdi_97%  mcse_mean  mcse_sd  ess_mean   ess_sd  ess_bulk  ess_tail  r_hat
mparallax             27.313      0.119     27.080      27.528      0.001    0.000   46521.0  46521.0   46514.0   20566.0    1.0
MAb                    0.244      0.005      0.235       0.254      0.000    0.000   34291.0  34291.0   34284.0   18901.0    1.0
logPOuter              6.227      0.428      5.402       6.995      0.005    0.004    6512.0   6371.0    6567.0    9428.0    1.0
offsetKeck            -1.260      0.481     -2.155      -0.334      0.002    0.002   37263.0  33156.0   37210.0   21345.0    1.0
offsetFeros            1.282      0.972     -0.568       3.117      0.005    0.005   37038.0  23034.0   37193.0   19771.0    1.0
offsetDupont          -0.176      0.688     -1.502       1.082      0.004    0.004   34376.0  12498.0   34707.0   19657.0    1.0
logRhoS               -4.795      0.447     -5.613      -3.932      0.003    0.002   18547.0  17738.0   19294.0   14351.0    1.0
logThetaS             -3.788      0.307     -4.362      -3.224      0.002    0.001   26809.0  26809.0   29358.0   17654.0    1.0
parallax               0.027      0.000      0.027       0.028      0.000    0.000   46521.0  46521.0   46514.0   20566.0    1.0
aAngInner              4.631      0.035      4.566       4.697      0.000    0.000   37695.0  37695.0   37745.0   18972.0    1.0
aInner                 0.170      0.001      0.168       0.172      0.000    0.000   35248.0  35248.0   35300.0   16446.0    1.0
logPInner              3.552      0.000      3.552       3.552      0.000    0.000   33214.0  33214.0   33621.0   19902.0    1.0
PInner                34.879      0.001     34.877      34.881      0.000    0.000   33215.0  33215.0   33621.0   19902.0    1.0
eInner                 0.630      0.007      0.618       0.643      0.000    0.000   37196.0  37112.0   37717.0   17458.0    1.0
omegaInner             1.416      0.022      1.374       1.456      0.000    0.000   27383.0  27354.0   27527.0   16266.0    1.0
OmegaInner             1.955      0.165      1.636       2.252      0.001    0.001   44852.0  44437.0   44867.0   20092.0    1.0
cosInclInner           0.663      0.011      0.642       0.683      0.000    0.000   39312.0  39312.0   39604.0   20224.0    1.0
inclInner              0.846      0.015      0.819       0.873      0.000    0.000   39375.0  39286.0   39604.0   20224.0    1.0
tPeriastronInner    1159.573      0.070   1159.448    1159.710      0.000    0.000   27335.0  27335.0   27611.0   16616.0    1.0
MA                     0.535      0.010      0.516       0.553      0.000    0.000   35443.0  35443.0   35257.0   16461.0    1.0
MAa                    0.290      0.006      0.279       0.302      0.000    0.000   35808.0  35808.0   35696.0   17925.0    1.0
POuter            202736.597  90844.471  65189.064  363028.616   1176.794  832.160    5959.0   5959.0    6567.0    9428.0    1.0
omegaOuter            -0.225      1.843     -2.873       3.003      0.028    0.021    4292.0   4027.0    7375.0   16365.0    1.0
OmegaOuter             0.531      1.001     -0.588       2.279      0.028    0.020    1311.0   1311.0    1615.0    6094.0    1.0
phiOuter               0.554      0.758     -0.924       1.533      0.020    0.014    1445.0   1445.0    1746.0    5918.0    1.0
tPeriastronOuter   12722.905  66120.797 -69224.555  129393.652   1337.034  945.538    2446.0   2446.0    2948.0    9805.0    1.0
cosInclOuter          -0.738      0.142     -0.982      -0.488      0.002    0.001    5029.0   4957.0    4878.0    8912.0    1.0
inclOuter              2.430      0.224      2.025       2.840      0.003    0.002    4889.0   4872.0    4878.0    8912.0    1.0
eOuter                 0.314      0.191      0.000       0.612      0.004    0.003    2172.0   2172.0    2339.0    8300.0    1.0
gammaOuter             9.431      0.519      8.431      10.395      0.003    0.002   24187.0  24187.0   24305.0   19409.0    1.0
MB                     0.400      0.279      0.000       0.898      0.003    0.002    8713.0   8713.0    6764.0    5999.0    1.0
Mtot                   0.935      0.279      0.531       1.441      0.003    0.002    8708.0   8708.0    6994.0    6064.0    1.0
aOuter                63.691     18.647     35.919      97.575      0.239    0.172    6081.0   5896.0    6840.0    9390.0    1.0
aAngOuter              1.739      0.509      0.975       2.658      0.007    0.005    6083.0   5899.0    6840.0    9375.0    1.0
logjittercfa           1.337      0.088      1.166       1.496      0.001    0.000   19939.0  18096.0   20673.0    9462.0    1.0
logjitterkeck         -0.209      0.164     -0.507       0.103      0.001    0.001   21085.0  21085.0   22530.0   14264.0    1.0
logjitterferos         1.217      0.178      0.903       1.557      0.001    0.001   17450.0  15029.0   16062.0    8146.0    1.0
logjitterdupont        0.707      0.190      0.364       1.074      0.001    0.001   24329.0  17965.0   27814.0   13004.0    1.0
jitCfa                 3.821      0.337      3.208       4.463      0.003    0.002   17462.0  15292.0   20673.0    9462.0    1.0
jitKeck                0.823      0.140      0.592       1.091      0.001    0.001   18762.0  16613.0   22530.0   14264.0    1.0
jitFeros               3.431      0.609      2.408       4.668      0.005    0.004   14571.0  12426.0   16062.0    8146.0    1.0
jitDupont              2.066      0.410      1.368       2.827      0.003    0.002   19157.0  15299.0   27814.0   13004.0    1.0
iDisk                  0.851      0.013      0.826       0.875      0.000    0.000   34090.0  33667.0   33581.0   13739.0    1.0
OmegaDisk              2.033      0.006      2.021       2.045      0.000    0.000   42401.0  42387.0   42347.0   17558.0    1.0
thetaDiskInner         0.112      0.080      0.003       0.258      0.001    0.000   15469.0  14388.0   17178.0   18040.0    1.0
thetaInnerOuter        2.165      0.401      1.386       2.735      0.011    0.007    1453.0   1453.0    1685.0    5698.0    1.0
thetaDiskOuter         2.192      0.418      1.388       2.726      0.011    0.008    1383.0   1377.0    1632.0    5667.0    1.0
