                        mean         sd     hdi_3%     hdi_97%  mcse_mean   mcse_sd  ess_mean   ess_sd  ess_bulk  ess_tail  r_hat
mparallax             27.312      0.117     27.082      27.524      0.001     0.001   19544.0  19544.0   19571.0    8623.0   1.00
MAb                    0.244      0.005      0.235       0.254      0.000     0.000   16178.0  16178.0   16159.0    7773.0   1.00
logPOuter              6.227      0.427      5.429       7.016      0.009     0.006    2259.0   2230.0    2270.0    3915.0   1.00
offsetKeck            -1.261      0.492     -2.172      -0.332      0.004     0.003   15750.0  14123.0   15781.0    7674.0   1.00
offsetFeros            1.261      0.974     -0.583       3.114      0.007     0.007   17377.0  10511.0   17331.0    8909.0   1.00
offsetDupont          -0.182      0.683     -1.497       1.091      0.006     0.007   15261.0   5008.0   15362.0    7981.0   1.00
logRhoS               -4.802      0.445     -5.653      -3.975      0.006     0.004    5605.0   5263.0    5887.0    3126.0   1.00
logThetaS             -3.789      0.305     -4.334      -3.209      0.003     0.002   10243.0  10243.0   11517.0    6848.0   1.00
parallax               0.027      0.000      0.027       0.028      0.000     0.000   19544.0  19544.0   19571.0    8623.0   1.00
aAngInner              4.632      0.034      4.567       4.694      0.000     0.000   15476.0  15476.0   15632.0    8580.0   1.00
aInner                 0.170      0.001      0.168       0.172      0.000     0.000   14603.0  14603.0   14612.0    7888.0   1.00
logPInner              3.552      0.000      3.552       3.552      0.000     0.000   13863.0  13863.0   14029.0    8473.0   1.00
PInner                34.879      0.001     34.877      34.881      0.000     0.000   13863.0  13863.0   14029.0    8473.0   1.00
eInner                 0.630      0.007      0.618       0.643      0.000     0.000   14931.0  14904.0   15064.0    7300.0   1.00
omegaInner             1.416      0.022      1.373       1.456      0.000     0.000   14106.0  14106.0   14481.0    7718.0   1.00
OmegaInner             1.818      0.163      1.520       2.130      0.001     0.001   18705.0  18560.0   18721.0    7549.0   1.00
cosInclInner          -0.663      0.011     -0.683      -0.641      0.000     0.000   13142.0  13142.0   13446.0    2910.0   1.00
inclInner              2.295      0.015      2.267       2.323      0.000     0.000   13219.0  13219.0   13446.0    2910.0   1.00
tPeriastronInner    1159.573      0.072   1159.436    1159.705      0.001     0.000   15094.0  15094.0   15254.0    8412.0   1.00
MA                     0.535      0.010      0.517       0.554      0.000     0.000   14659.0  14659.0   14623.0    7887.0   1.00
MAa                    0.290      0.006      0.278       0.301      0.000     0.000   12753.0  12753.0   12687.0    2994.0   1.00
POuter            202604.194  91243.896  62451.613  358177.993   1920.201  1357.963    2258.0   2258.0    2270.0    3915.0   1.00
omegaOuter            -0.201      1.851     -2.736       3.132      0.044     0.031    1777.0   1777.0    3019.0    7808.0   1.01
OmegaOuter             0.514      0.991     -0.614       2.247      0.041     0.029     593.0    593.0     753.0    2768.0   1.01
phiOuter               0.565      0.749     -0.909       1.523      0.029     0.020     673.0    673.0     845.0    2794.0   1.01
tPeriastronOuter   14318.185  66858.072 -65509.650  134300.115   2085.671  1475.211    1028.0   1028.0    1263.0    5274.0   1.01
cosInclOuter          -0.738      0.142     -0.981      -0.490      0.003     0.002    2077.0   2031.0    2121.0    5648.0   1.00
inclOuter              2.429      0.223      2.034       2.843      0.005     0.003    2062.0   2062.0    2121.0    5648.0   1.00
eOuter                 0.309      0.192      0.000       0.609      0.006     0.005     905.0    905.0     961.0    3848.0   1.01
gammaOuter             9.433      0.529      8.420      10.404      0.005     0.004   10183.0  10183.0   10185.0    8380.0   1.00
MB                     0.399      0.281      0.000       0.902      0.004     0.003    4444.0   4444.0    3592.0    2898.0   1.00
Mtot                   0.934      0.281      0.527       1.439      0.004     0.003    4448.0   4448.0    3683.0    3118.0   1.00
aOuter                63.651     18.790     35.846      98.026      0.382     0.270    2420.0   2420.0    2414.0    4056.0   1.00
aAngOuter              1.738      0.513      0.961       2.659      0.010     0.007    2420.0   2420.0    2416.0    4074.0   1.00
logjittercfa           1.335      0.087      1.179       1.504      0.001     0.001    7993.0   7170.0    8357.0    3610.0   1.00
logjitterkeck         -0.209      0.165     -0.519       0.094      0.002     0.001    9933.0   9933.0   10303.0    7599.0   1.00
logjitterferos         1.217      0.176      0.909       1.554      0.002     0.001    8436.0   7409.0    7937.0    4420.0   1.00
logjitterdupont        0.705      0.188      0.349       1.052      0.002     0.001   11258.0   8023.0   13039.0    5557.0   1.00
jitCfa                 3.813      0.333      3.206       4.447      0.004     0.003    6895.0   5967.0    8357.0    3610.0   1.00
jitKeck                0.823      0.140      0.586       1.089      0.001     0.001    9190.0   8433.0   10303.0    7599.0   1.00
jitFeros               3.429      0.603      2.422       4.637      0.007     0.005    7226.0   6284.0    7937.0    4420.0   1.00
jitDupont              2.060      0.403      1.383       2.816      0.004     0.003    8661.0   6948.0   13039.0    5557.0   1.00
iDisk                  2.291      0.013      2.267       2.314      0.000     0.000   14153.0  14153.0   13965.0    6722.0   1.00
OmegaDisk              2.033      0.006      2.021       2.045      0.000     0.000   20354.0  20336.0   20319.0    7231.0   1.00
thetaDiskInner         0.173      0.105      0.007       0.354      0.001     0.001   15489.0  11614.0   16313.0    8897.0   1.00
thetaInnerOuter        0.979      0.499      0.141       1.719      0.020     0.014     613.0    613.0     721.0    3360.0   1.01
thetaDiskOuter         1.040      0.548      0.094       1.787      0.023     0.016     591.0    591.0     702.0    3221.0   1.01
