                 mean         sd      hdi_3%     hdi_97%  mcse_mean   mcse_sd  ess_mean  ess_sd  ess_bulk  ess_tail  r_hat
mparallax      27.311      0.120      27.083      27.536      0.002     0.002    3124.0  3124.0    3122.0    3469.0   1.00
logP            6.304      0.411       5.524       7.072      0.012     0.009    1096.0  1096.0    1096.0    2253.0   1.00
logRhoS        -4.741      0.414      -5.485      -3.919      0.008     0.006    2394.0  2364.0    2391.0    2793.0   1.00
logThetaS      -3.786      0.309      -4.318      -3.199      0.007     0.005    2250.0  2250.0    2309.0    2651.0   1.00
parallax        0.027      0.000       0.027       0.028      0.000     0.000    3124.0  3124.0    3122.0    3469.0   1.00
aAng            1.817      0.496       1.032       2.728      0.020     0.014     599.0   599.0     591.0    1182.0   1.01
a              66.534     18.151      37.432      99.546      0.742     0.525     599.0   599.0     593.0    1179.0   1.01
P          216911.474  90485.535   72187.400  387246.243   2568.905  1816.917    1241.0  1241.0    1096.0    2253.0   1.00
omega          -0.656      1.357      -3.141       2.169      0.044     0.045     938.0   453.0     973.0    1273.0   1.00
Omega           1.887      1.063       0.126       3.142      0.105     0.075     102.0   102.0     105.0     131.0   1.03
phi            -0.836      1.163      -2.440       0.936      0.110     0.078     112.0   112.0     117.0     475.0   1.02
tPeri      -50152.304  60187.027 -175879.639   65172.139   3706.340  2623.682     264.0   264.0     216.0     669.0   1.01
cosIncl        -0.710      0.159      -1.000      -0.448      0.006     0.004     714.0   714.0     673.0     955.0   1.01
incl            2.395      0.255       1.931       2.887      0.009     0.007     736.0   736.0     673.0     955.0   1.01
e               0.303      0.192       0.001       0.630      0.008     0.006     599.0   599.0     594.0     896.0   1.01
Mtot            1.020      0.643       0.271       2.091      0.026     0.018     635.0   635.0    1025.0     986.0   1.01
