                 mean         sd      hpd_3%     hpd_97%  mcse_mean   mcse_sd  ess_mean  ess_sd  ess_bulk  ess_tail  r_hat
mparallax      27.309      0.120      27.091      27.538      0.002     0.001    6161.0  6161.0    6164.0    5086.0   1.00
logP            6.300      0.434       5.485       7.135      0.010     0.007    2069.0  2033.0    2068.0    3007.0   1.00
logRhoS        -4.789      0.445      -5.669      -3.980      0.008     0.005    3427.0  3323.0    3490.0    3522.0   1.00
logThetaS      -3.785      0.305      -4.327      -3.201      0.005     0.003    4032.0  4032.0    4298.0    3653.0   1.00
parallax        0.027      0.000       0.027       0.028      0.000     0.000    6161.0  6161.0    6164.0    5086.0   1.00
aAng            1.819      0.498       1.037       2.758      0.013     0.009    1480.0  1480.0    1501.0    2558.0   1.00
a              66.609     18.230      38.238     101.254      0.474     0.335    1481.0  1481.0    1502.0    2531.0   1.00
P          218407.844  99115.197   65640.507  400101.093   2245.382  1587.962    1948.0  1948.0    2068.0    3007.0   1.00
omega          -0.070      1.722      -2.652       3.064      0.056     0.041     951.0   877.0    1337.0    3378.0   1.01
Omega           0.502      1.987      -2.942       3.137      0.067     0.098     879.0   208.0    1050.0    2324.0   1.02
phi            -0.512      1.713      -3.139       2.210      0.107     0.076     256.0   256.0     344.0    1737.0   1.01
tPeri      -18221.916  90696.694 -179256.494  183635.539   4849.605  3432.053     350.0   350.0     334.0    1067.0   1.02
cosIncl        -0.711      0.162      -0.999      -0.446      0.005     0.004     907.0   907.0     878.0    1518.0   1.00
incl            2.397      0.257       1.954       2.896      0.009     0.006     893.0   893.0     878.0    1518.0   1.00
e               0.321      0.188       0.001       0.637      0.005     0.004    1306.0  1306.0    1339.0    2599.0   1.01
Mtot            1.034      0.647       0.300       2.187      0.017     0.012    1454.0  1454.0    1295.0    2409.0   1.00
