HJD	Orbital	RV_Aa	RV_Ab	RV_B	sigma_Aa	sigma_Ab	sigma_B
50828.9583	0.225	-4.28	26.71	5.94	4.10	6.66	3.95
51177.0639	0.205	-3.93	23.00	7.29	2.90	4.71	2.80
51237.9189	0.950	39.18	-13.93	12.90	2.65	4.30	2.55
51595.9255	0.215	-4.61	24.70	10.15	2.65	4.30	2.55
51619.8713	0.901	33.65	-14.36	9.47	2.77	4.49	2.67
51621.8603	0.958	37.45	-25.56	4.56	2.77	4.49	2.67
51682.7086	0.703	16.36	3.66	14.07	2.37	3.84	2.28
51917.0057	0.420	0.90	23.18	10.16	2.77	4.49	2.67
51945.9559	0.250	-3.11	28.13	9.82	2.29	3.72	2.21
51947.9030	0.306	-1.91	26.98	8.36	4.10	6.66	3.95
51971.8490	0.993	17.30	2.20	7.61	2.65	4.30	2.55
51972.8516	0.021	0.66	24.23	10.28	2.77	4.49	2.67
51973.8552	0.050	-9.99	36.49	11.10	3.06	4.97	2.95
52008.7574	0.051	-3.75	36.49	7.67	2.29	3.72	2.21
52009.7560	0.079	-12.87	34.92	8.09	2.29	3.72	2.21
52010.7549	0.108	-10.12	37.06	6.40	2.77	4.49	2.67
52011.7852	0.138	-9.87	32.41	7.45	2.16	3.51	2.08
52034.6899	0.794	23.48	-6.55	9.00	2.10	3.42	2.02
52036.6749	0.851	30.59	-3.31	12.04	2.23	3.61	2.15
52037.6722	0.880	32.22	-13.52	9.91	2.37	3.84	2.28
52038.6889	0.909	30.09	-17.56	3.97	2.65	4.30	2.55
52039.7160	0.938	34.12	-23.75	9.06	3.24	5.27	3.12
52336.8646	0.458	4.67	5.77	14.82	4.10	6.66	3.95
52360.7904	0.144	-4.51	33.18	8.67	2.55	4.13	2.46
52395.6929	0.145	-11.35	23.39	6.37	3.47	5.63	3.35
52653.9864	0.550	4.61	5.81	14.23	3.75	6.08	3.62
52722.7959	0.523	8.55	10.74	11.38	2.90	4.71	2.80
52771.6831	0.925	28.34	-20.69	5.19	3.24	5.27	3.12
53016.9925	0.958	36.04	-25.21	8.23	1.87	3.04	1.80
53035.9465	0.501	9.31	14.46	4.42	2.45	3.98	2.36
53127.7003	0.132	-5.98	34.88	9.67	2.16	3.51	2.08
53479.7427	0.225	-4.89	15.67	6.14	2.90	4.71	2.80
53781.9036	0.889	35.70	-16.91	10.66	2.37	3.84	2.28
53864.6736	0.262	-1.47	20.14	7.03	2.55	4.13	2.46
54136.9247	0.067	-10.99	31.18	9.40	2.77	4.49	2.67
