                     mean     sd    hpd_3%   hpd_97%  mcse_mean  mcse_sd  ess_mean   ess_sd  ess_bulk  ess_tail  r_hat
offsetKeck         -1.239  0.497    -2.187    -0.311      0.004    0.003   13149.0  12276.0   13150.0    9209.0    1.0
offsetFeros         1.261  0.964    -0.509     3.128      0.009    0.007   12338.0  10104.0   12382.0    8977.0    1.0
offsetDupont       -0.162  0.690    -1.470     1.119      0.006    0.006   12340.0   6595.0   12413.0    9477.0    1.0
logKAa              3.149  0.015     3.120     3.177      0.000    0.000   12951.0  12949.0   12994.0    8808.0    1.0
logKAb              3.322  0.013     3.297     3.346      0.000    0.000   13190.0  13186.0   13238.0    8476.0    1.0
KAa                23.310  0.359    22.637    23.972      0.003    0.002   12943.0  12929.0   12994.0    8808.0    1.0
KAb                27.717  0.358    27.042    28.384      0.003    0.002   13173.0  13152.0   13238.0    8476.0    1.0
logP                3.552  0.000     3.552     3.552      0.000    0.000   10733.0  10733.0   10876.0    8058.0    1.0
P                  34.879  0.001    34.877    34.881      0.000    0.000   10733.0  10733.0   10876.0    8058.0    1.0
e                   0.631  0.007     0.618     0.644      0.000    0.000   13003.0  12968.0   13111.0    9208.0    1.0
omega               1.418  0.023     1.373     1.460      0.000    0.000   10785.0  10785.0   10881.0    7926.0    1.0
gamma               9.850  0.458     9.014    10.743      0.004    0.003   13549.0  13549.0   13592.0    8898.0    1.0
tPeri            1159.577  0.074  1159.438  1159.716      0.001    0.001    9540.0   9540.0    9616.0    8374.0    1.0
logjittercfa        1.336  0.087     1.181     1.508      0.001    0.001    8378.0   7711.0    8570.0    4233.0    1.0
logjitterkeck      -0.143  0.178    -0.461     0.197      0.002    0.001    9284.0   9284.0    9750.0    7852.0    1.0
logjitterferos      1.217  0.179     0.909     1.566      0.002    0.002    7695.0   6574.0    6957.0    3928.0    1.0
logjitterdupont     0.707  0.190     0.364     1.072      0.002    0.002    8104.0   6439.0    9002.0    5247.0    1.0
jitCfa              3.820  0.333     3.208     4.460      0.004    0.003    7478.0   6675.0    8570.0    4233.0    1.0
jitKeck             0.880  0.162     0.614     1.197      0.002    0.001    8466.0   7760.0    9750.0    7852.0    1.0
jitFeros            3.431  0.612     2.384     4.655      0.008    0.006    6358.0   5381.0    6957.0    3928.0    1.0
jitDupont           2.065  0.410     1.361     2.821      0.005    0.004    6765.0   5700.0    9002.0    5247.0    1.0
