                     mean     sd    hpd_3%   hpd_97%  mcse_mean  mcse_sd  ess_mean   ess_sd  ess_bulk  ess_tail  r_hat
mparallax          27.314  0.122    27.084    27.540      0.001    0.001   15520.0  15520.0   15518.0    8574.0    1.0
offsetKeck         -1.242  0.492    -2.158    -0.309      0.004    0.003   15228.0  14012.0   15214.0    8500.0    1.0
offsetFeros         1.275  0.950    -0.442     3.126      0.008    0.007   13567.0  10273.0   13635.0    8901.0    1.0
offsetDupont       -0.178  0.687    -1.474     1.136      0.006    0.006   14552.0   6066.0   14572.0    8874.0    1.0
parallax            0.027  0.000     0.027     0.028      0.000    0.000   15520.0  15520.0   15518.0    8574.0    1.0
a_ang               4.613  0.037     4.539     4.678      0.000    0.000   14510.0  14510.0   14522.0    8654.0    1.0
a                   0.169  0.001     0.167     0.171      0.000    0.000   14786.0  14786.0   14824.0    9314.0    1.0
logP                3.552  0.000     3.552     3.552      0.000    0.000   12147.0  12147.0   12297.0    8554.0    1.0
P                  34.879  0.001    34.877    34.881      0.000    0.000   12147.0  12147.0   12297.0    8554.0    1.0
e                   0.631  0.007     0.618     0.644      0.000    0.000   15106.0  15095.0   15122.0    9027.0    1.0
omega               1.415  0.023     1.370     1.457      0.000    0.000   12360.0  12360.0   12508.0    9163.0    1.0
Omega               1.954  0.165     1.637     2.255      0.001    0.001   15377.0  15356.0   15410.0    8671.0    1.0
gamma               9.853  0.450     9.002    10.695      0.004    0.003   15637.0  15637.0   15619.0    9069.0    1.0
cosIncl             0.659  0.012     0.636     0.681      0.000    0.000   14467.0  14467.0   14473.0    8995.0    1.0
incl                0.851  0.016     0.822     0.882      0.000    0.000   14478.0  14463.0   14473.0    8995.0    1.0
MAb                 0.241  0.005     0.231     0.251      0.000    0.000   14415.0  14415.0   14422.0    9427.0    1.0
tPeri            1159.570  0.074  1159.432  1159.711      0.001    0.000   11409.0  11409.0   11518.0    8447.0    1.0
MA                  0.528  0.011     0.509     0.548      0.000    0.000   14805.0  14805.0   14826.0    9339.0    1.0
MAa                 0.287  0.006     0.275     0.299      0.000    0.000   14777.0  14777.0   14765.0    8965.0    1.0
logjittercfa        1.335  0.088     1.176     1.507      0.001    0.001   10119.0   9494.0   10353.0    5400.0    1.0
logjitterkeck      -0.140  0.180    -0.472     0.196      0.002    0.001    8679.0   8679.0    9004.0    7281.0    1.0
logjitterferos      1.217  0.176     0.915     1.563      0.002    0.002    6860.0   6159.0    6440.0    3998.0    1.0
logjitterdupont     0.707  0.190     0.365     1.066      0.002    0.002    8351.0   6228.0    9866.0    6335.0    1.0
jitCfa              3.815  0.337     3.196     4.455      0.003    0.003    9285.0   8521.0   10353.0    5400.0    1.0
jitKeck             0.884  0.165     0.605     1.193      0.002    0.001    8117.0   7589.0    9004.0    7281.0    1.0
jitFeros            3.428  0.604     2.397     4.627      0.008    0.006    6018.0   5339.0    6440.0    3998.0    1.0
jitDupont           2.065  0.413     1.393     2.842      0.005    0.004    6502.0   4970.0    9866.0    6335.0    1.0
iDisk               0.859  0.015     0.832     0.886      0.000    0.000   14301.0  14276.0   14278.0    7920.0    1.0
OmegaDisk           2.035  0.007     2.022     2.048      0.000    0.000   13798.0  13798.0   13773.0    7738.0    1.0
thetaADisk          0.114  0.081     0.002     0.261      0.001    0.001    7413.0   6930.0    8268.0    8344.0    1.0
