                     mean     sd    hpd_3%   hpd_97%  mcse_mean  mcse_sd  ess_mean   ess_sd  ess_bulk  ess_tail  r_hat
mparallax          27.312  0.120    27.089    27.539      0.001    0.001   17480.0  17480.0   17541.0    8422.0    1.0
offsetKeck         -1.238  0.499    -2.176    -0.309      0.004    0.003   17425.0  14931.0   17440.0    8687.0    1.0
offsetFeros         1.260  0.959    -0.494     3.086      0.008    0.007   15958.0  10670.0   16463.0    9226.0    1.0
offsetDupont       -0.174  0.698    -1.508     1.125      0.006    0.006   13879.0   5984.0   13879.0    8979.0    1.0
parallax            0.027  0.000     0.027     0.028      0.000    0.000   17480.0  17480.0   17541.0    8422.0    1.0
a_ang               4.613  0.036     4.544     4.680      0.000    0.000   16319.0  16319.0   16325.0    9292.0    1.0
a                   0.169  0.001     0.167     0.171      0.000    0.000   16480.0  16480.0   16474.0    9075.0    1.0
logP                3.552  0.000     3.552     3.552      0.000    0.000   12495.0  12495.0   12578.0    8640.0    1.0
P                  34.879  0.001    34.877    34.881      0.000    0.000   12495.0  12495.0   12578.0    8640.0    1.0
e                   0.630  0.007     0.617     0.643      0.000    0.000   15704.0  15673.0   15765.0    8535.0    1.0
omega               1.415  0.023     1.370     1.458      0.000    0.000   13115.0  13115.0   13281.0    8589.0    1.0
Omega               1.819  0.164     1.521     2.141      0.001    0.001   16681.0  16681.0   16688.0    9210.0    1.0
gamma               9.849  0.456     9.018    10.719      0.004    0.002   16805.0  16805.0   16809.0    8326.0    1.0
cosIncl            -0.659  0.012    -0.682    -0.637      0.000    0.000   16835.0  16835.0   16856.0    9357.0    1.0
incl                2.291  0.016     2.261     2.321      0.000    0.000   16861.0  16861.0   16856.0    9357.0    1.0
MAb                 0.241  0.005     0.231     0.252      0.000    0.000   16741.0  16738.0   16747.0    9636.0    1.0
tPeri            1159.570  0.074  1159.432  1159.712      0.001    0.000   12630.0  12630.0   12784.0    9046.0    1.0
MA                  0.528  0.011     0.509     0.548      0.000    0.000   16496.0  16496.0   16484.0    9099.0    1.0
MAa                 0.287  0.006     0.275     0.299      0.000    0.000   17328.0  17301.0   17335.0    9138.0    1.0
logjittercfa        1.336  0.087     1.174     1.502      0.001    0.001    8918.0   8236.0    9204.0    4382.0    1.0
logjitterkeck      -0.138  0.180    -0.456     0.202      0.002    0.001    9059.0   9059.0    9518.0    7684.0    1.0
logjitterferos      1.217  0.179     0.905     1.559      0.002    0.001    8020.0   7184.0    7633.0    4791.0    1.0
logjitterdupont     0.708  0.192     0.349     1.062      0.002    0.002    7769.0   5656.0    9170.0    5489.0    1.0
jitCfa              3.818  0.336     3.216     4.470      0.004    0.003    7984.0   7098.0    9204.0    4382.0    1.0
jitKeck             0.885  0.166     0.618     1.203      0.002    0.001    8231.0   7435.0    9518.0    7684.0    1.0
jitFeros            3.432  0.611     2.360     4.615      0.007    0.005    7026.0   6236.0    7633.0    4791.0    1.0
jitDupont           2.068  0.417     1.363     2.821      0.005    0.004    5928.0   4456.0    9170.0    5489.0    1.0
iDisk               2.283  0.015     2.256     2.310      0.000    0.000   16419.0  16419.0   16409.0    8511.0    1.0
OmegaDisk           2.035  0.007     2.023     2.049      0.000    0.000   14658.0  14658.0   14658.0    6174.0    1.0
thetaADisk          0.175  0.107     0.006     0.358      0.001    0.001   13418.0  10881.0   13951.0    9100.0    1.0
