                     mean     sd    hpd_3%   hpd_97%  mcse_mean  mcse_sd  ess_mean  ess_sd  ess_bulk  ess_tail  r_hat
mparallax          27.305  0.121    27.074    27.540      0.005    0.004     576.0   576.0     597.0     320.0   1.01
offsetKeck         -1.218  0.502    -2.144    -0.313      0.025    0.018     411.0   411.0     405.0    1021.0   1.01
offsetFeros         1.295  0.963    -0.504     3.114      0.030    0.021    1053.0  1053.0    1035.0    3573.0   1.01
offsetDupont       -0.135  0.684    -1.413     1.149      0.024    0.017     807.0   807.0     780.0    1977.0   1.01
parallax            0.027  0.000     0.027     0.028      0.000    0.000     576.0   576.0     597.0     320.0   1.01
aAng                5.515  0.852     3.813     6.867      0.083    0.059     106.0   106.0      99.0      30.0   1.03
a                   0.202  0.031     0.141     0.252      0.003    0.002     108.0   108.0     104.0      37.0   1.03
logP                3.552  0.000     3.552     3.552      0.000    0.000    2821.0  2821.0    2781.0    6000.0   1.00
P                  34.879  0.001    34.877    34.881      0.000    0.000    2821.0  2821.0    2781.0    6000.0   1.00
e                   0.631  0.007     0.618     0.644      0.000    0.000    1528.0  1528.0    1535.0    4149.0   1.00
omega               1.418  0.023     1.374     1.460      0.000    0.000    2427.0  2398.0    2286.0    2337.0   1.00
Omega               1.962  0.159     1.657     2.254      0.003    0.002    3766.0  3755.0    3716.0    5713.0   1.00
gamma               9.826  0.463     8.959    10.674      0.025    0.018     350.0   350.0     347.0     533.0   1.01
cosIncl             0.750  0.105     0.492     0.883      0.015    0.011      48.0    48.0     103.0      53.0   1.03
incl                0.711  0.150     0.502     1.066      0.020    0.016      57.0    47.0     103.0      53.0   1.03
MAb                 0.442  0.198     0.134     0.791      0.015    0.011     177.0   177.0     103.0      35.0   1.03
tPeri            1159.578  0.072  1159.443  1159.716      0.002    0.001    1742.0  1742.0    1657.0    2072.0   1.00
MA                  0.968  0.433     0.295     1.736      0.032    0.023     178.0   178.0     104.0      37.0   1.03
MAa                 0.526  0.235     0.159     0.942      0.018    0.012     178.0   178.0     105.0      38.0   1.03
logjittercfa        1.335  0.086     1.166     1.492      0.002    0.001    2271.0  2271.0    2219.0    1378.0   1.00
logjitterkeck      -0.147  0.181    -0.459     0.209      0.006    0.005     801.0   801.0     725.0    4516.0   1.01
logjitterferos      1.230  0.191     0.932     1.596      0.019    0.015      97.0    80.0      87.0      26.0   1.03
logjitterdupont     0.701  0.187     0.359     1.064      0.003    0.002    3864.0  3369.0    4133.0    3415.0   1.00
jitCfa              3.815  0.330     3.209     4.448      0.007    0.005    2423.0  2423.0    2219.0    1378.0   1.00
jitKeck             0.878  0.170     0.609     1.191      0.005    0.004     993.0   993.0     725.0    4516.0   1.01
jitFeros            3.485  0.668     2.524     4.914      0.076    0.060      76.0    62.0      87.0      26.0   1.03
jitDupont           2.053  0.402     1.375     2.823      0.007    0.005    3486.0  3190.0    4133.0    3415.0   1.00
