                        mean         sd     hpd_3%     hpd_97%  mcse_mean   mcse_sd  ess_mean   ess_sd  ess_bulk  ess_tail  r_hat
mparallax             27.313      0.120     27.082      27.531      0.001     0.001   10192.0  10192.0   10198.0    6865.0   1.00
MAb                    0.241      0.005      0.231       0.251      0.000     0.000   11044.0  11040.0   11040.0    8040.0   1.00
logPOuter              6.190      0.410      5.407       6.920      0.011     0.008    1432.0   1370.0    1465.0    2117.0   1.00
offsetKeck            -1.259      0.479     -2.150      -0.349      0.005     0.003   10735.0  10000.0   10740.0    8382.0   1.00
offsetFeros            1.280      0.979     -0.508       3.193      0.010     0.008    9766.0   8210.0    9766.0    7718.0   1.00
offsetDupont          -0.176      0.689     -1.447       1.154      0.007     0.006    8504.0   6199.0    8531.0    7653.0   1.00
logRhoS               -4.750      0.418     -5.508      -3.952      0.007     0.005    4064.0   3818.0    4085.0    1367.0   1.00
logThetaS             -3.781      0.309     -4.361      -3.192      0.004     0.003    4852.0   4852.0    6251.0    1388.0   1.00
parallax               0.027      0.000      0.027       0.028      0.000     0.000   10192.0  10192.0   10198.0    6865.0   1.00
aAngInner              4.612      0.037      4.542       4.679      0.000     0.000   10287.0  10287.0   10314.0    8464.0   1.00
aInner                 0.169      0.001      0.167       0.171      0.000     0.000   10274.0  10274.0   10408.0    8384.0   1.00
logPInner              3.552      0.000      3.552       3.552      0.000     0.000    9192.0   9192.0    9238.0    7881.0   1.00
PInner                34.879      0.001     34.877      34.881      0.000     0.000    9192.0   9192.0    9238.0    7881.0   1.00
eInner                 0.630      0.007      0.617       0.642      0.000     0.000   10650.0  10629.0   10702.0    7790.0   1.00
omegaInner             1.416      0.022      1.372       1.456      0.000     0.000    9005.0   9005.0    9047.0    6360.0   1.00
OmegaInner             1.823      0.163      1.508       2.125      0.002     0.001    8952.0   8664.0    8938.0    4598.0   1.00
cosInclInner          -0.659      0.011     -0.680      -0.637      0.000     0.000    5415.0   5415.0    6155.0    1489.0   1.00
inclInner              2.290      0.015      2.261       2.319      0.000     0.000    5534.0   5534.0    6155.0    1489.0   1.00
tPeriastronInner    1159.572      0.071   1159.440    1159.707      0.001     0.001    8740.0   8740.0    8829.0    6912.0   1.00
MA                     0.528      0.011      0.508       0.547      0.000     0.000   10322.0  10322.0   10407.0    8384.0   1.00
MAa                    0.287      0.006      0.276       0.299      0.000     0.000    9461.0   9461.0    9492.0    8422.0   1.00
POuter            193967.871  83922.488  68224.332  337172.353   2479.367  1901.511    1146.0    975.0    1465.0    2117.0   1.00
omegaOuter            -0.278      1.868     -2.819       3.079      0.049     0.035    1460.0   1460.0    2703.0    6747.0   1.00
OmegaOuter             0.525      0.970     -0.588       2.217      0.046     0.033     444.0    444.0     527.0    1661.0   1.01
phiOuter               0.560      0.733     -0.860       1.532      0.033     0.023     493.0    493.0     609.0    1646.0   1.01
tPeriastronOuter   12262.828  64971.170 -68533.050  124144.175   2310.248  1634.195     791.0    791.0     982.0    3592.0   1.00
cosInclOuter          -0.750      0.138     -0.978      -0.508      0.004     0.003    1279.0   1279.0    1334.0    2919.0   1.00
inclOuter              2.447      0.219      2.068       2.864      0.006     0.004    1311.0   1311.0    1334.0    2919.0   1.00
eOuter                 0.314      0.191      0.000       0.613      0.007     0.005     654.0    654.0     696.0    2017.0   1.01
gammaOuter             9.419      0.523      8.419      10.413      0.007     0.005    6039.0   6039.0    6044.0    7000.0   1.00
MB                     0.396      0.277      0.000       0.894      0.005     0.004    2879.0   2879.0    2358.0    2366.0   1.00
Mtot                   0.924      0.276      0.522       1.426      0.005     0.004    2888.0   2888.0    2392.0    2432.0   1.00
aOuter                61.606     16.852     35.390      91.954      0.463     0.341    1325.0   1222.0    1633.0    1623.0   1.00
aAngOuter              1.683      0.460      0.966       2.511      0.013     0.009    1323.0   1221.0    1630.0    1621.0   1.00
logjittercfa           1.336      0.087      1.163       1.492      0.001     0.001    6741.0   6240.0    7043.0    4126.0   1.00
logjitterkeck         -0.209      0.165     -0.515       0.098      0.002     0.001    7400.0   7400.0    7735.0    5753.0   1.00
logjitterferos         1.216      0.178      0.905       1.552      0.002     0.002    5258.0   4766.0    4842.0    3483.0   1.00
logjitterdupont        0.702      0.193      0.357       1.079      0.002     0.002    6667.0   5146.0    7657.0    4334.0   1.00
jitCfa                 3.818      0.336      3.193       4.438      0.004     0.003    6078.0   5515.0    7043.0    4126.0   1.00
jitKeck                0.823      0.140      0.587       1.092      0.002     0.001    6831.0   6324.0    7735.0    5753.0   1.00
jitFeros               3.426      0.607      2.337       4.564      0.009     0.007    4673.0   4185.0    4842.0    3483.0   1.00
jitDupont              2.057      0.417      1.352       2.827      0.006     0.004    5403.0   4420.0    7657.0    4334.0   1.00
iDisk                  2.282      0.015      2.255       2.310      0.000     0.000    9811.0   9811.0    9806.0    7468.0   1.00
OmegaDisk              2.035      0.007      2.022       2.048      0.000     0.000   10766.0  10766.0   10719.0    6524.0   1.00
thetaDiskInner         0.173      0.106      0.006       0.357      0.001     0.001    9890.0   8454.0   10418.0    7594.0   1.00
thetaInnerOuter        0.969      0.489      0.141       1.687      0.023     0.016     461.0    461.0     545.0    2496.0   1.01
thetaDiskOuter         1.034      0.536      0.097       1.766      0.025     0.018     442.0    442.0     506.0    1150.0   1.01
