                 mean          sd     hpd_3%     hpd_97%  mcse_mean   mcse_sd  ess_mean  ess_sd  ess_bulk  ess_tail  r_hat
parallax       27.311       0.121     27.088      27.536      0.002     0.001    4548.0  4548.0    4626.0    6600.0   1.00
logP            6.460       0.521      5.479       7.422      0.015     0.011    1204.0  1167.0    1185.0    1608.0   1.00
logRhoS        -4.776       0.423     -5.543      -3.966      0.007     0.005    3743.0  3618.0    3751.0    2637.0   1.00
logThetaS      -3.783       0.308     -4.316      -3.192      0.005     0.004    3273.0  3230.0    3323.0    5006.0   1.00
aAng            2.089       0.625      1.036       3.284      0.019     0.015    1033.0   906.0    1146.0     666.0   1.00
dpc            36.616       0.162     36.316      36.917      0.002     0.002    4543.0  4540.0    4626.0    6600.0   1.00
a              76.485      22.861     38.064     120.340      0.710     0.536    1038.0   911.0    1150.0     664.0   1.00
P          266382.686  141676.251  61056.289  531020.184   4443.771  3401.024    1016.0   868.0    1185.0    1608.0   1.00
omega           0.098       1.794     -2.619       3.135      0.050     0.039    1285.0  1071.0    1766.0    4620.0   1.00
Omega           0.386       1.784     -2.752       3.141      0.078     0.092     525.0   188.0     853.0    2011.0   1.01
phi            -0.134       1.724     -3.125       2.389      0.103     0.073     279.0   279.0     399.0    2155.0   1.01
cosIncl        -0.670       0.180     -0.996      -0.376      0.006     0.004    1027.0  1027.0     993.0     273.0   1.01
incl            2.341       0.271      1.909       2.880      0.008     0.006    1104.0  1104.0     993.0     273.0   1.01
e               0.347       0.212      0.000       0.700      0.009     0.008     562.0   320.0     660.0     279.0   1.01
Mtot            1.297       1.614      0.233       3.092      0.104     0.074     239.0   239.0     888.0     278.0   1.01
