epoch object quant1 quant1_err quant2 quant2_err quant_type
48629.98503934569 1 1.4 0.1 230.0 0.1 seppa
50864.68290836738 1 1.44 0.01 215.4 1.0 seppa
50994.70913113341 1 1.469 0.001 216.11 0.03 seppa
52689.432933477205 1 1.481 0.003 213.4 0.5 seppa
53057.231827649695 1 1.477 0.006 215.78 0.09 seppa
55221.94929138491 1 1.526 0.1 208.9 0.1 seppa
55225.67476181245 1 1.504 0.015 209.1 0.3 seppa
55225.67476181245 1 1.523 0.1 209.3 0.3 seppa
56754.06726683145 1 1.5124 0.0181 207.387 0.687 seppa
56755.23604186758 1 1.5124 0.0181 207.387 0.687 seppa
56768.092567264684 1 1.544 0.0048 207.65 0.18 seppa
57022.666379815 1 1.541 0.1 207.165 0.1 seppa
57032.78358872127 1 1.5504 0.0007 207.1 0.1 seppa
